Torchlight: Infinite,RPG,Hack and Slash,Loot,Action RPG,Action,Adventure,Combat,Dungeon Crawler,Action-Adventure,Multiplayer,Top-Down,Singleplayer,Drama,Fantasy,Free to Play,Story Rich,Character Customization,Time Travel,Co-op,Magic
Zenith: The Last City,Early Access,VR,MMORPG,Open World,Action,Action-Adventure,Adventure,RPG,PvE,Action RPG,Massively Multiplayer,Hack and Slash,Exploration,Anime,JRPG,Dystopian,Futuristic,Character Customization,Combat,Crafting
Streets Of Rage 4 - Mr. X Nightmare,Action,Indie,Beat 'em up,Multiplayer,Arcade,Local Multiplayer,2D,Great Soundtrack,Fighting,Classic,Hand-drawn,Sequel,Retro,Colorful,Beautiful,PvP,Online Co-Op,Roguelite,Family Friendly,Co-op Campaign
Chained Echoes,RPG,Indie,Pixel Graphics,Turn-Based,JRPG,Retro,Exploration,Turn-Based Combat,2D,Story Rich,Mechs,Anime,Fantasy,Party-Based RPG,Open World,Great Soundtrack,Character Customization,Adventure
PlanetSide 2,Free to Play,FPS,Massively Multiplayer,Shooter,Action,Open World,Multiplayer,Team-Based,Sci-fi,Tactical,War,First-Person,PvP,Futuristic,Co-op,Online Co-Op,Strategy,Space,Adventure,RPG
Hunt: Showdown - Last Gust,Action,Violent,Gore,Multiplayer,Western,FPS,PvP,First-Person,Perma Death,Zombies,Survival,Blood
The Stanley Parable,Comedy,Narration,Indie,Walking Simulator,First-Person,Funny,Psychological,Satire,Dynamic Narration,Adventure,Exploration,Multiple Endings,Singleplayer,Choices Matter,Story Rich,Short,Surreal,Atmospheric,Puzzle,Casual
Don't Starve: Hamlet,Adventure,Indie,Simulation,Survival,Singleplayer,Multiplayer,Sandbox,Open World,Difficult,Crafting,Exploration,Moddable
War of Rights,Historical,War,Multiplayer,Realistic,Action,Simulation,Military,Strategy,FPS,First-Person,Early Access,Shooter,Indie,Massively Multiplayer,Violent,America,Gore,Singleplayer,Tactical,Mature
Stellaris: MegaCorp,Strategy,Simulation,4X,Sci-fi,Space,Singleplayer,Capitalism
Paradox of Hope VR,VR,Atmospheric,Post-apocalyptic,Shooter,Survival Horror,Horror,Survival,Stealth,First-Person,Exploration,FPS,Story Rich,Gun Customization,Realistic,Physics,Singleplayer,Adventure,Action,Indie,Early Access
Space Engineers Deluxe,Simulation,Indie,Strategy,Action,Sandbox,Space
Don't Starve Together: Starter Pack 2023,Adventure,Indie,Simulation
Space Engineers - Automatons,Strategy,Action,Indie,Simulation
Caliber: Starter Pack,Massively Multiplayer,Action,Free to Play,Violent,Third Person,Shooter,Online Co-Op,Multiplayer,Class-Based,Atmospheric,Co-op,Tactical,Character Customization,eSports,Team-Based
The Jackbox Party Pack 2,Trivia,Local Multiplayer,Casual,Comedy,Indie,Strategy,Party,Funny,Multiplayer,Local Co-Op,Party Game,Board Game,Co-op,Family Friendly
Job Simulator,VR,Simulation,Funny,First-Person,Singleplayer,Robots,Comedy,Physics,Memes,Family Friendly,Sandbox,Casual,Sci-fi,Atmospheric,Realistic,Action,Indie,Job Simulator,Psychological Horror,Multiplayer
Do Not Feed the Monkeys,Point & Click,Political Sim,Management,2D,Dark Humor,Strategy,Multiple Endings,Funny,Choices Matter,Story Rich,Simulation,Pixel Graphics,Adventure,Dystopian,Resource Management,Atmospheric,Singleplayer,Nudity,Sexual Content,Mature
Firestone: Online Idle RPG,Idler,Free to Play,RPG,Clicker,Indie,Adventure,Casual,Early Access,Strategy,Singleplayer,Simulation,Action,Massively Multiplayer,Multiplayer,2D,MMORPG,Fantasy,Auto Battler,Time Management,Combat
嗜血印 Bloody Spell,Nudity,Roguelite,Female Protagonist,Hack and Slash,Action RPG,Martial Arts,Sexual Content,Roguelike,3D,RPG,Action,Singleplayer,Violent,Online Co-Op,Gore,Indie,3D Vision,Multiplayer,Adventure,Medieval
Stellaris: Aquatics Species Pack,Strategy,Simulation,Space,4X,Sci-fi,Grand Strategy,RTS,Building,Singleplayer,Futuristic,Replay Value,Procedural Generation,Exploration,Atmospheric,Real-Time with Pause,Management,Diplomacy,Sandbox,Military,Multiplayer
Fishing Planet: Golden Pack,Free to Play,Massively Multiplayer,Simulation,Sports
The Mortuary Assistant,Horror,Supernatural,Demons,Mystery,Surreal,Atmospheric,Simulation,Adventure,Singleplayer,Indie,First-Person,Dark,Exploration,3D,Realistic,Thriller,Hidden Object,Female Protagonist,Medical Sim,Puzzle
Surgeon Simulator 2,Simulation,Funny,Multiplayer,Physics,Online Co-Op,Medical Sim,Casual,Dark Humor,Comedy,Memes,Co-op,Competitive,Team-Based,Action,Blood,Party,Puzzle,First-Person,Singleplayer,Controller
Observer: System Redux,Horror,Investigation,Cyberpunk,Hacking,Stealth,Walking Simulator,First-Person,Action-Adventure,Story Rich,Alternate History,Detective,Psychological Horror,Dynamic Narration,Surreal,Choices Matter,Conversation,Multiple Endings,Narration,Stylized,Dystopian
Insurgency,FPS,Realistic,Tactical,Multiplayer,Shooter,Action,Military,Team-Based,Co-op,First-Person,War,Strategy,Online Co-Op,Competitive,Indie,Simulation,PvP,Singleplayer,Atmospheric,Adventure
Furi,Hack and Slash,Bullet Hell,Shoot 'Em Up,Beat 'em up,Difficult,Top-Down,Third Person,Atmospheric,Sci-fi,Cyberpunk,Controller,Story Rich,Action,Fast-Paced,Violent,Boss Rush,Replay Value,Singleplayer,Indie,Great Soundtrack
FAITH: The Unholy Trinity,Horror,Pixel Graphics,Indie,Psychological Horror,Retro,Story Rich,Atmospheric,Dark,Adventure,Gore,Violent,Blood,Great Soundtrack,Survival Horror,Lovecraftian,Puzzle,Classic,Animation & Modeling,Alternate History,Faith
Infinity Kingdom,Strategy,4X,MOBA,Wargame,Card Battler,Tactical RPG,3D,Split Screen,Cartoony,Drama,War,Tactical,Magic,Base Building,Combat,Massively Multiplayer,Free to Play,Co-op Campaign,Multiplayer,Adventure
Neverwinter,Free to Play,MMORPG,RPG,Massively Multiplayer,Adventure,Multiplayer,Fantasy,Action,Open World,Character Customization,Co-op,Dungeons & Dragons,PvP,Dragons,Action RPG,PvE,Third Person,Hack and Slash,Atmospheric,Zombies
Battle Brothers - Warriors of the North,RPG,Indie,Strategy
Punch Club 2: Fast Forward,Time Management,Resource Management,Martial Arts,Adventure,Cyberpunk,Management,Sports,Tactical RPG,Pixel Graphics,Strategy RPG,Turn-Based Tactics,Nostalgia,RPG,1980s,1990's,Life Sim,Funny,Arcade,Combat,Retro
UNDYING,Early Access,Story Rich,Multiple Endings,Action RPG,Survival,Adventure,Zombies,Female Protagonist,Crafting,Post-apocalyptic,Top-Down,Horror,Abstract,Cooking,Cinematic,Dark Fantasy,RPG,Third Person,Open World,Action
